Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
02-20-2011,16482.10647170608,CarGurus Index,27634,0.72,-0.13,-7.54
04-10-2011,23263.93903849511,CarGurus Index,27634,0.72,-0.13,-7.54
05-29-2011,31574.61053706338,CarGurus Index,27634,0.72,-0.13,-7.54
07-17-2011,28187.840864325954,CarGurus Index,27634,0.72,-0.13,-7.54
09-04-2011,25466.10771626291,CarGurus Index,27634,0.72,-0.13,-7.54
10-23-2011,25677.890472788822,CarGurus Index,27634,0.72,-0.13,-7.54
12-11-2011,27916.91027782492,CarGurus Index,27634,0.72,-0.13,-7.54
01-29-2012,28451.928823768754,CarGurus Index,27634,0.72,-0.13,-7.54
03-18-2012,28390.560226637066,CarGurus Index,27634,0.72,-0.13,-7.54
05-06-2012,27354.110100033835,CarGurus Index,27634,0.72,-0.13,-7.54
06-24-2012,26688.7134579864,CarGurus Index,27634,0.72,-0.13,-7.54
08-12-2012,26382.77472242305,CarGurus Index,27634,0.72,-0.13,-7.54
09-30-2012,25523.295510396005,CarGurus Index,27634,0.72,-0.13,-7.54
11-18-2012,24791.168300775284,CarGurus Index,27634,0.72,-0.13,-7.54
01-06-2013,24714.645760488405,CarGurus Index,27634,0.72,-0.13,-7.54
02-24-2013,24686.32794547932,CarGurus Index,27634,0.72,-0.13,-7.54
04-14-2013,24390.4025458807,CarGurus Index,27634,0.72,-0.13,-7.54
06-02-2013,24030.98039216469,CarGurus Index,27634,0.72,-0.13,-7.54
07-21-2013,23926.066950525128,CarGurus Index,27634,0.72,-0.13,-7.54
09-08-2013,24159.169605427964,CarGurus Index,27634,0.72,-0.13,-7.54
10-27-2013,23963.565713091295,CarGurus Index,27634,0.72,-0.13,-7.54
12-15-2013,24041.36549789597,CarGurus Index,27634,0.72,-0.13,-7.54
02-02-2014,24099.453904484588,CarGurus Index,27634,0.72,-0.13,-7.54
03-23-2014,24131.189138742735,CarGurus Index,27634,0.72,-0.13,-7.54
05-11-2014,24670.2307173968,CarGurus Index,27634,0.72,-0.13,-7.54
06-29-2014,24712.88778276238,CarGurus Index,27634,0.72,-0.13,-7.54
08-17-2014,24413.40320910334,CarGurus Index,27634,0.72,-0.13,-7.54
10-05-2014,24018.93724300821,CarGurus Index,27634,0.72,-0.13,-7.54
11-23-2014,23615.044969978426,CarGurus Index,27634,0.72,-0.13,-7.54
01-11-2015,23515.80296580768,CarGurus Index,27634,0.72,-0.13,-7.54
03-01-2015,23505.841556647625,CarGurus Index,27634,0.72,-0.13,-7.54
04-19-2015,23829.603462521438,CarGurus Index,27634,0.72,-0.13,-7.54
06-07-2015,24067.029443354106,CarGurus Index,27634,0.72,-0.13,-7.54
07-26-2015,23897.94331635622,CarGurus Index,27634,0.72,-0.13,-7.54
09-13-2015,23789.34324674799,CarGurus Index,27634,0.72,-0.13,-7.54
11-01-2015,23684.965898864008,CarGurus Index,27634,0.72,-0.13,-7.54
12-20-2015,23475.300434131233,CarGurus Index,27634,0.72,-0.13,-7.54
02-07-2016,23370.118184455176,CarGurus Index,27634,0.72,-0.13,-7.54
03-27-2016,23122.777012921048,CarGurus Index,27634,0.72,-0.13,-7.54
05-15-2016,23226.34922754396,CarGurus Index,27634,0.72,-0.13,-7.54
07-03-2016,23195.700170915858,CarGurus Index,27634,0.72,-0.13,-7.54
08-21-2016,23159.320721140488,CarGurus Index,27634,0.72,-0.13,-7.54
10-09-2016,23091.78042524193,CarGurus Index,27634,0.72,-0.13,-7.54
11-27-2016,23016.244458150904,CarGurus Index,27634,0.72,-0.13,-7.54
01-15-2017,22884.22016172808,CarGurus Index,27634,0.72,-0.13,-7.54
03-05-2017,22613.977535391048,CarGurus Index,27634,0.72,-0.13,-7.54
04-23-2017,22534.46563683156,CarGurus Index,27634,0.72,-0.13,-7.54
06-11-2017,22565.087717650465,CarGurus Index,27634,0.72,-0.13,-7.54
07-30-2017,22498.825877901036,CarGurus Index,27634,0.72,-0.13,-7.54
09-17-2017,22594.10544098869,CarGurus Index,27634,0.72,-0.13,-7.54
11-05-2017,22828.72020762382,CarGurus Index,27634,0.72,-0.13,-7.54
12-24-2017,22733.715164522964,CarGurus Index,27634,0.72,-0.13,-7.54
02-11-2018,22522.828052153796,CarGurus Index,27634,0.72,-0.13,-7.54
04-01-2018,22247.0722397499,CarGurus Index,27634,0.72,-0.13,-7.54
05-20-2018,22437.452238454218,CarGurus Index,27634,0.72,-0.13,-7.54
07-08-2018,22437.63089220308,CarGurus Index,27634,0.72,-0.13,-7.54
08-26-2018,22288.099068278785,CarGurus Index,27634,0.72,-0.13,-7.54
10-14-2018,22328.47985034676,CarGurus Index,27634,0.72,-0.13,-7.54
12-02-2018,22348.98885438821,CarGurus Index,27634,0.72,-0.13,-7.54
01-20-2019,22241.018990789915,CarGurus Index,27634,0.72,-0.13,-7.54
03-10-2019,21904.857523689643,CarGurus Index,27634,0.72,-0.13,-7.54
04-28-2019,21879.648372698484,CarGurus Index,27634,0.72,-0.13,-7.54
06-16-2019,22107.076178186067,CarGurus Index,27634,0.72,-0.13,-7.54
08-04-2019,22143.836271005257,CarGurus Index,27634,0.72,-0.13,-7.54
09-22-2019,22292.847304515653,CarGurus Index,27634,0.72,-0.13,-7.54
11-10-2019,22308.731988132076,CarGurus Index,27634,0.72,-0.13,-7.54
12-29-2019,22012.505464637266,CarGurus Index,27634,0.72,-0.13,-7.54
02-16-2020,21666.140181839408,CarGurus Index,27634,0.72,-0.13,-7.54
04-05-2020,21576.479812639365,CarGurus Index,27634,0.72,-0.13,-7.54
05-24-2020,21510.400847889105,CarGurus Index,27634,0.72,-0.13,-7.54
07-12-2020,21198.44613942596,CarGurus Index,27634,0.72,-0.13,-7.54
08-30-2020,22131.75457713381,CarGurus Index,27634,0.72,-0.13,-7.54
10-18-2020,23290.400850792994,CarGurus Index,27634,0.72,-0.13,-7.54
12-06-2020,23504.478570351468,CarGurus Index,27634,0.72,-0.13,-7.54
01-24-2021,23333.47848453629,CarGurus Index,27634,0.72,-0.13,-7.54
03-14-2021,23185.097935814116,CarGurus Index,27634,0.72,-0.13,-7.54
05-02-2021,24225.9342166652,CarGurus Index,27634,0.72,-0.13,-7.54
06-20-2021,26881.81103852133,CarGurus Index,27634,0.72,-0.13,-7.54
08-08-2021,28444.137931019464,CarGurus Index,27634,0.72,-0.13,-7.54
09-26-2021,28896.893405839062,CarGurus Index,27634,0.72,-0.13,-7.54
11-14-2021,29724.186568996378,CarGurus Index,27634,0.72,-0.13,-7.54
01-02-2022,30854.368993819753,CarGurus Index,27634,0.72,-0.13,-7.54
02-20-2022,31456.806881947632,CarGurus Index,27634,0.72,-0.13,-7.54
04-10-2022,31203.420526870756,CarGurus Index,27634,0.72,-0.13,-7.54
05-29-2022,31434.94400092392,CarGurus Index,27634,0.72,-0.13,-7.54
07-17-2022,31505.13558179652,CarGurus Index,27634,0.72,-0.13,-7.54
09-04-2022,31563.975262730273,CarGurus Index,27634,0.72,-0.13,-7.54
10-23-2022,31113.026317912554,CarGurus Index,27634,0.72,-0.13,-7.54
12-11-2022,30093.887222117708,CarGurus Index,27634,0.72,-0.13,-7.54
01-29-2023,29178.326793357774,CarGurus Index,27634,0.72,-0.13,-7.54
03-19-2023,28735.418816328678,CarGurus Index,27634,0.72,-0.13,-7.54
05-07-2023,29547.27381105349,CarGurus Index,27634,0.72,-0.13,-7.54
06-25-2023,30117.027877106964,CarGurus Index,27634,0.72,-0.13,-7.54
08-13-2023,29840.87906561266,CarGurus Index,27634,0.72,-0.13,-7.54
10-01-2023,29317.662714698494,CarGurus Index,27634,0.72,-0.13,-7.54
11-19-2023,29007.738469371,CarGurus Index,27634,0.72,-0.13,-7.54
01-07-2024,28438.27070246744,CarGurus Index,27634,0.72,-0.13,-7.54
02-25-2024,27661.23004875032,CarGurus Index,27634,0.72,-0.13,-7.54
04-14-2024,27414.726528715146,CarGurus Index,27634,0.72,-0.13,-7.54
01-02-2011,19770.936671797655,Volvo,29281,1.41,0.67,-8.61
02-20-2011,19971.303749952058,Volvo,29281,1.41,0.67,-8.61
04-10-2011,20844.744180621306,Volvo,29281,1.41,0.67,-8.61
05-29-2011,20857.466441857407,Volvo,29281,1.41,0.67,-8.61
07-17-2011,21282.14620458029,Volvo,29281,1.41,0.67,-8.61
09-04-2011,21257.042186653016,Volvo,29281,1.41,0.67,-8.61
10-23-2011,20543.593989923003,Volvo,29281,1.41,0.67,-8.61
12-11-2011,18481.160392372523,Volvo,29281,1.41,0.67,-8.61
01-29-2012,18043.180968614975,Volvo,29281,1.41,0.67,-8.61
03-18-2012,18178.687514323472,Volvo,29281,1.41,0.67,-8.61
05-06-2012,18550.318985925573,Volvo,29281,1.41,0.67,-8.61
06-24-2012,18597.295467207347,Volvo,29281,1.41,0.67,-8.61
08-12-2012,17822.00271986209,Volvo,29281,1.41,0.67,-8.61
09-30-2012,17146.432117627333,Volvo,29281,1.41,0.67,-8.61
11-18-2012,16770.243209846132,Volvo,29281,1.41,0.67,-8.61
01-06-2013,16583.73345344991,Volvo,29281,1.41,0.67,-8.61
02-24-2013,16542.19745746869,Volvo,29281,1.41,0.67,-8.61
04-14-2013,17132.543382938737,Volvo,29281,1.41,0.67,-8.61
06-02-2013,17337.37324305247,Volvo,29281,1.41,0.67,-8.61
07-21-2013,17417.882876983214,Volvo,29281,1.41,0.67,-8.61
09-08-2013,17287.55578629106,Volvo,29281,1.41,0.67,-8.61
10-27-2013,17278.307996400763,Volvo,29281,1.41,0.67,-8.61
